Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
B Psychomotorische Therapie en Bewegingsagogie;B Psychomotorische Therapie en Bewegingsagogie;34585;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Bachelor - psychologie, sociale en maatschappijwetenschappen;Past ook goed bij sport en beweging;psychotherapie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie, Sociale en Maatschappijwetenschappen
M European MSc in Occupational Therapy;M European MSc in Occupational Therapy;69312;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;arbeids-, ergotherapie;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Musculoskeletal Physiotherapy Sciences;M Musculoskeletal Physiotherapy Sciences;69317;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Fysiotherapie en Innovatie in beweegzorg;M Fysiotherapie en Innovatie in beweegzorg;45286;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Fysiotherapie en Wijkgerichte Beweegzorg;M Fysiotherapie en Wijkgerichte Beweegzorg;45288;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Neurorevalidatie en Innovatie;M Neurorevalidatie en Innovatie;49143;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
B Optometrie;B Optometrie;34549;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;optiek, oogmeetkunde, contactlenzen;medische diagnostiek en medische technologie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Mondzorgkunde;B Mondzorgkunde;34576;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - medische diagnostiek en medische technologie;;mondhygiënist;tandheelkunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Medische Diagnostiek en Medische Technologie
B Toegepaste Gerontologie;B Toegepaste Gerontologie;30109;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;"Lijkt me niet; gerontologie kijkt naar fysieke, mentale en sociale aspecten en gevolgen van veroudering (huisvesting, welzijn, etc.)";fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Huidtherapie;B Huidtherapie;34091;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;orthoptie en overige therapie;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Opleiding tot Fysiotherapeut;B Opleiding tot Fysiotherapeut;34570;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Oefentherapie Cesar;B Oefentherapie Cesar;34571;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Opleiding tot Oefentherapeut;B Opleiding tot Oefentherapeut;34572;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Opleiding voor Ergotherapie;B Opleiding voor Ergotherapie;34574;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;arbeids-, ergotherapie;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Orthoptie;B Orthoptie;34577;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;orthoptie en overige therapie;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Opleiding voor Logopedie;B Opleiding voor Logopedie;34578;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;logo-, akoepedie;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Voeding en Diëtetiek;B Voeding en Diëtetiek;34579;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;Voeding en gezondheid: bij verpleging en verzorging?;voeding en dietetiek;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
B Opleiding Podotherapie;B Opleiding Podotherapie;34581;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;orthoptie en overige therapie;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
Ad Praktijkondersteuner Huisarts;Ad Praktijkondersteuner Huisarts;80198;Paramedisch, Therapie en Revalidatie;Gezondheidszorg - klinisch en paramedisch;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;ROA NOG NIET INGEDEELD;;;;;;
M Mental Health;M Mental Health;60006;Psychologie en Gedrag;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;psychologie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie
M Speltherapie;M Speltherapie;49294;Psychologie en Gedrag;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;;;;;
M Vaktherapie;M Vaktherapie;49303;Psychologie en Gedrag;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;;;;;
M Medische Psychologie;M Medische Psychologie;66581;Psychologie en Gedrag;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Master - psychologie;;;;;;
B Vaktherapie;B Vaktherapie;34644;Psychologie en Gedrag;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;Bachelor - psychologie, sociale en maatschappijwetenschappen;;creatieve therapie;psychologie;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie, Sociale en Maatschappijwetenschappen
B Speltherapie;B Speltherapie;39294;Psychologie en Gedrag;Psychologie en Neurowetenschappen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;GEZONDHEIDSZORG;ROA NOG NIET INGEDEELD;;;;;;
M Bewegingswetenschappen;M Bewegingswetenschappen;60462;Sport en Beweging;Overig;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Human Movement Sciences;M Human Movement Sciences;60684;Sport en Beweging;Overig;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Human Movement Sciences: Sport, Exercise and Health (research);M Human Movement Sciences: Sport, Exercise and Health (research);60812;Sport en Beweging;Overig;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Human Movement Sciences: Sport, Exercise and Health;M Human Movement Sciences: Sport, Exercise and Health;66950;Sport en Beweging;Overig;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
B Bewegingswetenschappen;B Bewegingswetenschappen;56950;Sport en Beweging;Overig;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - therapie en revalidatie;;fysiotherapie, bewegingswetenschappen;therapie en revalidatie;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Therapie en Revalidatie
M Sport Sciences;M Sport Sciences;60682;Sport en Beweging;Overig;dienstverlening;persoonlijke dienstverlening;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;sport en bewegen algemeen;sport;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Sport- en Beweeginnovatie;M Sport- en Beweeginnovatie;49139;Sport en Beweging;Overig;dienstverlening;persoonlijke dienstverlening;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Sport- en Beweeginnovatie;M Sport- en Beweeginnovatie;49139;Sport en Beweging;Overig;dienstverlening;persoonlijke dienstverlening;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Performance, Sport and Health;M Performance, Sport and Health;49160;Sport en Beweging;Overig;dienstverlening;persoonlijke dienstverlening;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Physician Assistant;M Physician Assistant;49115;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - (dier)geneeskunde en tandheelkunde;;;;;;
M GGZ- Verpleegkunde (GGZ-V);M GGZ- Verpleegkunde (GGZ-V);49152;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Advanced Nursing Practice;M Advanced Nursing Practice;49246;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
B Medische Hulpverlening;B Medische Hulpverlening;30023;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - verpleeg- en verloskunde;;medische assistentie;verpleeg- en verloskunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Verpleeg- en Verloskunde
B Verloskunde;B Verloskunde;34134;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - verpleeg- en verloskunde;;verloskunde;verpleeg- en verloskunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Verpleeg- en Verloskunde
B Opleiding tot Verpleegkundige;B Opleiding tot Verpleegkundige;34560;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Bachelor - verpleeg- en verloskunde;;verpleging;verpleeg- en verloskunde;Zorg en Onderwijs;Gezondheidszorg en Welzijn;Verpleeg- en Verloskunde
M Verloskunde (joint degree);M Verloskunde (joint degree);49505;Verpleegkunde;Verpleegkunde;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;ROA NOG NIET INGEDEELD;;;;;;
M Health Food Innovation Management;M Health Food Innovation Management;60512;Voedingsmiddelentechnologie;Chemie, Moleculaire Levenswetenschappen en Voedingstechnologie;techniek, industrie en bouwkunde;levensmiddelentechnologie- en non-ferrotechniek;GEZONDHEIDSZORG;Master - chemische technologie;Voeding en gezondheid, maar bevat ook productontwikkeling;levensmiddelen algemeen;levensmiddelentechnologie;Techniek en Ict;Techniek en Ict;Chemische Technologie
B Management in de Zorg;B Management in de Zorg;34538;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
Ad Management in de Zorg;Ad Management in de Zorg;80011;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Zorgmanagement;M Zorgmanagement;60081;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Health Economics, Policy and Law;M Health Economics, Policy and Law;60082;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Healthcare Policy, Innovation and Management;M Healthcare Policy, Innovation and Management;60460;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M European Master in Health Economics and Management (joint degree);M European Master in Health Economics and Management (joint degree);65017;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Innovatie in Zorg en Welzijn;M Innovatie in Zorg en Welzijn;49132;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;GEZONDHEIDSZORG;Master - management, bedrijfs- en personeelwetenschappen;;;;;;
M Governance and Leadership in European Public Health;M Governance and Leadership in European Public Health;60379;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Population Health Management;M Population Health Management;60858;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;gezondheidszorg z.n.d.;gezondheidszorg z.n.d.;Zorg en Onderwijs;Gezondheidszorg;Farmacie en Gezondsheidswetenschappen
M Health Care and Social Work;M Health Care and Social Work;40101;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;gezondheidszorg en welzijn;gezondheidszorg;GEZONDHEIDSZORG;Master - farmacie en gezondsheidswetenschappen;;;;;;
M Occupational Health and Sustainable Work;M Occupational Health and Sustainable Work;60007;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;dienstverlening;hygiëne en arbeidsomstandigheden;GEZONDHEIDSZORG;Master - overig;;arbeidskunde;veiligheid op het werk en ergonomie;Overig;Overig;Overig
M Health and Digital Transformation;M Health and Digital Transformation;60990;Zorgmanagement en -beleid;Bedrijfskunde, Bestuurskunde en Management;informatica;informatica;GEZONDHEIDSZORG;ROA NOG NIET INGEDEELD;;;;;;
M Climate Studies;M Climate Studies;60107;Aardwetenschappen;Aarde, Milieu en Natuurbeheer;wiskunde, natuurwetenschappen;milieu en natuurbeheer;LANDBOUW_EN_NATUURLIJKE_OMGEVING;Master - landbouw, biologie en biochemische technologie;;milieukunde;milieu;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Landbouw, Biologie en Biochemische Technologie
